#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
5071,HD 110698,**,-0.9998450636,3.336122125,7.7869,6.641
5072,HD 100908,PM*,-0.4265439751,3.040193438,3.928,6.98
5073,HD 86634,PM*,-1.12555151,2.606009752,7.1136,6.58
5074,HD 81799,PM*,-0.3899716049,2.47534321,18.5521,4.69
5075,HD 149911,*,-0.1141098603,4.354709427,8.3718,6.09
5076,HD 136514,PM*,0.01248497194,4.018765776,13.0806,5.393
5077,HD 26345,PM*,0.3215464441,1.093911501,21.4123,6.576
5078,HD 223024A,PM*,-0.3259984095,6.22216598,16.1378,5.616
5079,HD 169885,*,0.930275077,4.816234473,9.8019,6.352
5080,HD 49738,*,0.2341041318,1.790816798,2.702,5.672
5081,HD 469,**,-0.9425119212,0.03944393836,4.9525,6.33
5082,HD 69904,*,-0.6294980889,2.171927933,1.1752,6.51
5083,HD 224427,**,0.4388003002,6.273406122,6.4247,4.66
5084,HD 35137,*,-0.3072413371,1.404648989,6.0602,6.47
5085,HD 71701,PM*,-1.352359281,2.184464206,21.3462,4.337
5086,HD 164637,Y*O,-0.3965124398,4.725603382,0.8874,6.718
5087,HD 191045,*,0.6824005826,5.263987168,2.7023,6.856
5088,HD 204408,SB*,1.345478824,5.595326959,7.1114,6.555
5089,HD 103257,gD*,-0.6383952755,3.112272573,16.3521,6.62
5090,HD 198391,SB*,0.1372559534,5.453300179,6.5067,6.318
5091,HD 118668,PM*,0.9179219614,3.565759683,3.4952,6.73
5092,HD 115365,SB*,0.3453185933,3.475551236,10.5242,6.423
5093,HD 162757,PM*,-0.1902332783,4.682103181,9.6406,6.176
5094,HD 2475,**,-0.3549135631,0.123707154,31.06,6.44
5095,HD 91188,Be*,-0.9961883859,2.750523438,1.2715,6.615
5096,HD 861,SB*,1.082817587,0.0576489793,8.0883,6.622
5097,HD 2806,*,0.2796177666,0.1378872995,3.9884,6.879
5098,HD 195814,*,-0.6647940144,5.388375069,15.1304,6.432
5099,HD 203501,*,1.417747875,5.556080023,5.8947,6.120
5100,HD 221786,PM*,0.4263110946,6.17407164,7.7573,6.67
5101,HD 184722,*,0.3316992227,5.127457708,2.1968,6.815
5102,HD 151879,SB*,0.1644331298,4.406820573,4.5912,6.92
5103,Cl Collinder 399,Cl*,0.3522650389,5.085016776,~,3.6
5104,HD 114630,SB*,-1.043996577,3.459801858,23.1989,6.197
5105,HD 213272,dS*,0.6235298648,5.889325341,9.1980,6.550
5106,HD 104356,PM*,-0.03086032227,3.146082414,5.9374,6.316
5107,HD 25202,PM*,0.3175452287,1.050743929,21.8567,5.865
5108,HD 149212,*,1.200230413,4.31089159,6.7911,4.949
5109,HD 212087,S*,-0.8019438419,5.858794565,6.1858,6.55
5110,HD 3112,dS*,-1.243830613,0.1456883945,7.1423,6.109
5111,HD 48587,*,0.7376729886,1.772331402,1.9392,6.890
5112,HD 182689,SB*,1.283705319,5.056800946,8.298,6.95
5113,HD 163800,*,-0.3930053159,4.707826284,0.7641,7.00
5114,HD 36840,*,-0.0002154861017,1.45947965,3.8001,6.251
5115,HD 101711,*,-1.051225956,3.062595899,0.4771,6.83
5116,HD 66006,Y*O,-0.8722068385,2.091017973,2.4073,6.26
5117,HD 202719,*,1.222212352,5.557937842,8.2039,6.68
5118,HD 80126,*,-1.004921154,2.42416874,2.6796,6.311
5119,HD 44148,*,-1.345746377,1.616356028,4.2719,6.82
5120,HD 198183A,**,0.6368827642,5.442847931,4.2653,4.76
5121,HD 3708,PM*,-0.1946178195,0.1733408657,14.2226,6.82
5122,HD 99872A,*,-1.264909808,3.003305543,~,6.54
5123,HD 45410,PM*,1.015129452,1.705121781,18.2183,5.855
5124,HD 123377,*,-1.227061778,3.711071835,1.1569,6.040
5125,HD 56855,LP*,-0.6474730157,1.907394474,4.04,2.70
