#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
12575,HD 139521,*,-0.6006013199,4.100504129,14.7317,4.661
12576,HD 120710,SB*,-0.5758657403,3.62957218,10.2148,5.98
12577,HD 85997,*,-0.8139666512,2.593489862,4.6012,6.653
12578,HD 195050,PM*,0.6709106847,5.356288869,12.1,5.62
12579,HD 24167,*,0.5439945425,1.012614794,8.6845,6.212
12580,HD 118972,PM*,-0.6015130014,3.582591581,63.7263,6.92
12581,HD 189319,PM*,0.3402021283,5.230564744,11.3375,3.47
12582,HD 137066,LP*,-1.126287144,4.047206083,4.9348,5.706
12583,HD 175865,LP*,0.7670039566,4.953833636,10.4404,4.00
12584,HD 91324,PM*,-0.9375120483,2.754843754,45.3276,4.89
12585,HD 167468,*,-1.30976972,4.815396039,16.8258,5.456
12586,HD 175293,*,0.1886410128,4.949603057,4.1481,6.536
12587,HD 63435,*,0.07563729019,2.046324434,5.9338,6.529
12588,HD 201078,cC*,0.5442749296,5.526166503,1.6594,5.82
12589,HD 12918,PM*,1.458421752,0.5967264893,7.2681,6.450
12590,HD 176560A,*,1.016218397,4.963169538,8.1088,7.00
12591,HD 110066,a2*,0.6274800476,3.3129884,7.2665,6.385
12592,HD 4338A,*,-0.2866567142,0.1993825249,10.1251,6.498
12593,HD 40953,PM*,-1.38511705,1.528383789,11.018,5.451
12594,HD 28475,SB*,0.1836411092,1.176850497,3.3244,6.772
12595,HD 177171,SB*,-0.9135212365,5.001819559,17.1476,5.174
12596,HD 94631,*,1.003615957,2.8642882,6.2864,6.80
12597,HD 124834,Be*,-1.29099292,3.752266728,1.6695,6.62
12598,HD 151965,a2*,-0.710753137,4.417676678,5.7153,6.315
12599,HD 118666,PM*,-1.127073475,3.578703656,14.5177,5.785
12600,HD 78633,*,1.250630213,2.417513183,5.7283,6.500
12601,HD 124812,*,-0.9732854675,3.741223494,0.8079,6.625
12602,HD 92518,*,-0.9125299871,2.792374266,5.778,6.87
12603,HD 142114,**,-0.442042006,4.160917209,6.49,4.59
12604,HD 79351,SB*,-1.029166564,2.404051803,7.9481,3.40
12605,HD 177724,PM*,0.2419633243,4.997794529,38.2329,2.99
12606,* 52 Peg A,PM*,0.2047069121,6.017882013,~,6.08
12607,* iot Pic,**,-0.9329849503,1.269341313,~,5.23
12608,HD 195325,**,0.1901697338,5.368193585,4.39,6.08
12609,HD 63712,*,0.50907757,2.057058687,5.4868,7.00
12610,HD 28312A,*,-0.4202987843,1.164784167,~,6.65
12611,HD 68450,*,-0.6508747262,2.142514065,0.7521,6.44
12612,HD 153919,HXB,-0.6605048908,4.467808179,0.6327,6.51
12613,HD 138917,PM*,0.1839184817,4.078847201,18.9725,5.13
12614,HD 29930,*,-0.8471520581,1.224219199,6.5818,6.876
12615,HD 116197A,*,-0.8367669968,3.50320394,5.0525,6.70
12616,HD 147869,SB*,0.1212691503,4.294297449,9.2789,5.819
12617,HD 46328,bC*,-0.4087285731,1.709794805,2.1660,4.33
12618,HD 150258,PM*,-0.1061379626,4.363453312,14.9618,6.72
12619,HD 198026,LP*,-0.08774993883,5.444281055,6.4691,4.44
12620,HD 140616,GlC,-0.6594974415,4.127921847,0.111,6.92
12621,HD 80567,LP*,0.003171358864,2.446128564,3.0282,6.698
12622,HD 17656,*,0.8175461117,0.7491629413,8.4081,5.859
12623,HD 37320,*,0.1316225515,1.474884583,3.5025,5.852
12624,HD 206240,**,-1.443717183,5.719921274,7.97,5.29
12625,HD 86055,*,-1.255648841,2.584997537,3.3642,6.91
12626,HD 12268,PM*,-0.7108238816,0.5211280071,5.4286,6.92
12627,HD 84687,PM*,-0.6259411949,2.556890303,18.163,6.86
12628,HD 5066,Pu*,0.6728040455,0.2307746215,4.4202,6.688
12629,HD 37017,SB*,-0.07843812364,1.463303443,2.7835,6.56
12630,HD 84802,*,-0.3002995915,2.562293539,2.8763,6.72
12631,HD 44404,*,-0.6891690356,1.657186432,4.2731,6.59
12632,HD 203242,*,-0.5090439983,5.592987532,3.5557,6.51
12633,HD 136415,*,-1.035341568,4.028994897,~,4.96
12634,HD 12471,V*,0.5809177287,0.5365400887,9.1053,5.516
12635,HD 84929,Be*,-1.035899573,2.558833089,2.6129,6.86
12636,HD 139137,*,-0.009800565863,4.086521849,6.9067,6.504
12637,HD 17086,V*,1.057159248,0.729378582,1.252,6.525
12638,HD 111774,Pu*,-0.6925541639,3.368262279,7.1293,5.969
12639,HD 164429,a2*,0.7937097684,4.707466121,7.0940,6.481
12640,HD 26846,PM*,-0.1790059154,1.110006708,14.1704,4.90
12641,HD 44951,PM*,-0.2012379922,1.676266531,8.2768,5.207
12642,HD 20853,*,-0.4643711663,0.8759519266,20.1522,6.404
12643,HD 218187,*,1.025074007,6.0436637,3.274,6.90
12644,HD 99803,Pu*,-0.7448053927,3.004517314,5.8843,5.136
12645,HD 33299,s*r,0.5375184868,1.35517365,1.4911,6.69
12646,HD 21803,bC*,0.7828806945,0.9278590413,1.839,6.41
12647,HD 103637,PM*,-0.6927127571,3.123759053,8.1087,6.131
12648,HD 58791,*,-0.2301911721,1.948647321,2.2354,6.918
12649,HD 82189,PM*,1.260226851,2.508440103,20.1599,5.768
12650,HD 79181,PM*,-0.3446611681,2.40846243,9.687,5.717
12651,HD 198743,SB*,-0.1567886408,5.465733506,22.6100,4.72
12652,HD 43445,*,-0.2394314936,1.639510396,8.1556,5.001
12653,HD 63976,**,-0.164142837,2.056614361,2.5585,6.82
12654,HD 1598,SB*,0.987104575,0.0897509647,6.1487,6.73
12655,HD 156014,LP*,0.2511593554,4.514501567,~,3.33
12656,HD 109813,*,-1.327601444,3.311376299,4.6526,6.76
12657,FAUST 3461,*,0.208537175,3.346742145,~,6.1
12658,HD 80710,LP*,-1.170258285,2.43412705,2.9943,6.136
12659,HD 22924,PM*,-0.4976193398,0.959454041,15.7259,6.93
12660,HD 101013,SB*,0.883454008,3.045090551,6.3162,6.113
12661,HD 172630,*,-1.066312278,4.909576793,4.1058,6.019
12662,CD-44 48,*,-0.7730639216,0.07213969397,~,6.69
12663,HD 182972,*,0.3535860799,5.089860513,4.1137,6.616
12664,HD 164816,Be*,-0.4243337467,4.729612659,0.7749,6.986
12665,HD 44061,PM*,0.99442489,1.671615959,6.8217,6.47
12666,HD 57703,PM*,0.3189311623,1.9332871,22.8867,6.77
12667,HD 166103,*,-0.2432017766,4.754813555,4.4163,6.379
12668,HD 160578,bC*,-0.6812017117,4.635978117,6.75,2.386
12669,HD 18950,*,0.6646125623,0.8035354439,2.0393,6.86
12670,HD 191263,*,0.1872017016,5.273678048,2.2402,6.339
12671,HD 114793,PM*,0.3272797702,3.458363424,6.7739,6.49
12672,HD 131919,*,-0.5088974688,3.914897767,6.2476,6.283
12673,HD 100378,PM*,-0.7057447284,3.022916245,5.6972,5.639
12674,HD 12112,**,1.046488735,0.5271219715,8.6404,6.740
12675,HD 157524,*,-1.100189936,4.573334601,4.2874,6.208
12676,HD 188119B,PM*,1.226421376,5.184395006,21.3808,6.80
12677,HD 18055,SB*,-0.7224274543,0.7536606197,7.2859,6.67
12678,HD 27176,SB*,0.3766284243,1.127425319,19.5053,5.631
12679,* 41 Oph A,PM*,-0.007772138538,4.523070748,~,4.79
12680,HD 44853,*,0.1964629153,1.677974256,4.622,6.85
12681,HD 92682,*,-1.300154859,2.789319407,2.6015,6.064
12682,HD 33254,SB*,0.1715586062,1.349695346,18.771,5.43
12683,HD 203696,*,0.6742954072,5.59718615,6.4943,6.617
12684,HD 29169,dS*,0.4073744964,1.20639702,22.9479,6.019
12685,HD 9742,PM*,-0.5566259147,0.4138454851,8.3017,6.110
12686,HD 184884,*,0.1946071136,5.131852359,7.1352,6.710
12687,HD 47105,SB*,0.2862214385,1.735345278,29.84,1.92
12688,HD 71866,a2*,0.7020567742,2.230432131,7.7170,6.714
12689,HD 98591,PM*,-0.1796735143,2.969331647,7.7833,6.54
12690,HD 16108,*,0.7400287389,0.6833094684,4.5756,6.79
12691,HD 31966,PM*,0.2510448612,1.311454568,26.6296,6.75
12692,HD 144426,SB*,0.1413062149,4.213365861,7.3125,6.269
12693,HD 164212,*,0.7577717043,4.703412335,5.3739,6.82
12694,HD 78418,SB*,0.4647657493,2.394543087,32.0163,5.95
12695,HD 27861,PM*,-0.0653707498,1.150524827,15.5196,5.165
12696,HD 25938,*,-1.242094939,1.050374139,9.4351,6.584
12697,HD 12301,s*b,1.12381782,0.5367023885,1.0770,5.614
12698,HD 142661A,PM*,-0.03777608186,4.170943024,26.0511,6.964
12699,HD 18066,*,0.3555770833,0.762842451,4.8712,6.98
12700,HD 206742,SB*,-0.5764086308,5.693904677,15.3346,4.34
12701,HD 76369,*,-0.1391030958,2.336532227,11.0332,6.907
12702,HD 171623,**,0.3177095266,4.866021006,6.1984,5.790
12703,HD 66775,*,0.2356918508,2.118626167,4.7663,6.78
12704,HD 210739,**,-0.4595066531,5.816126741,15.7434,6.182
12705,HD 206502,V*,-0.968187857,5.691085479,2.931,6.89
12706,HD 203010,PM*,-0.8715868436,5.590624161,8.4428,6.380
12707,* bet Cen B,*,-1.053710823,3.681867314,~,3.95
12708,HD 218329,V*,0.1642266291,6.051948142,9.9197,4.520
12709,HD 93850,PM*,-0.7394514978,2.833663447,7.427,6.76
12710,HD 63410,**,0.4583902702,2.04986777,5.7555,6.820
12711,HD 5789,*,0.7803933884,0.2620581075,6.7294,6.05
12712,HD 151956,PM*,0.1264959411,4.408365773,17.0312,5.469
12713,HD 157968,PM*,-0.2183840942,4.568555546,22.6612,6.206
12714,HD 23324,PM*,0.4335269057,0.9824560268,7.2222,5.64
12715,HD 9165,**,1.222069556,0.4037923696,5.2324,6.95
12716,HD 174638,SB*,0.5822883824,4.93090385,3.5982,3.42
12717,HD 198716,PM*,-0.694813196,5.470166245,8.2435,5.334
12718,HD 10293,Pu*,1.023247038,0.4463462436,2.2799,6.348
12719,HD 202369,V*,-0.2647926508,5.566498018,4.6316,5.317
12720,HD 52603,PM*,-0.9726566937,1.826759272,11.2894,6.260
12721,HD 160635,PM*,-1.129644662,4.650138002,8.8653,3.581
12722,HD 9798,*,-1.090415575,0.4101414871,13.1718,6.91
12723,HD 187753,**,0.1680733371,5.198007068,9.8657,6.233
12724,* gam CrA,**,-0.6468790898,5.002194368,57.79,4.21
12725,HD 181809,RS*,-0.3602867293,5.07311229,13.2667,6.74
12726,HD 185396,*,0.8467688172,5.133999404,3.5606,6.99
12727,HD 92825,PM*,0.4047139853,2.807431697,13.6957,5.070
12728,HD 67704,*,-0.8341599281,2.12534122,5.1638,6.96
12729,HD 71583,*,-0.5617073466,2.212507708,3.9939,6.80
12730,HD 117544,PM*,-0.2347255078,3.539611519,9.2993,6.93
12731,HD 103961,V*,-0.9829225209,3.133973189,3.4896,5.436
12732,HD 213398,PM*,-0.564545514,5.897055247,22.0836,4.29
12733,HD 99373,*,0.5838233076,2.995098238,17.9251,6.324
12734,HD 200233,*,-0.3359547716,5.509799233,4.2449,6.95
12735,HD 14872,*,0.8775276143,0.6354033295,7.6317,4.710
12736,HD 157325,PM*,0.8070538363,4.539392024,5.759,5.59
12737,HD 45512,PM*,0.1798369025,1.694337469,11.8796,6.155
12738,HD 118788,PM*,1.170004437,3.565039608,6.5393,6.70
12739,HD 190727,*,-0.5187261335,5.268262844,4.1444,6.70
12740,HD 2529,PM*,-0.8819647353,0.1253092834,8.4969,6.265
12741,HD 116713,Pe*,-0.6938571422,3.517405694,15.3353,5.09
12742,HD 198835,*,0.3146363065,5.465055822,6.565,6.55
12743,HD 61749,*,-0.1428627017,2.009711981,11.3884,6.013
12744,HD 138425,PM*,-0.1821906308,4.067916921,6.8517,6.58
12745,HD 200930,EB*,0.3655893505,5.523641073,4.4302,6.83
12746,HD 112563,*,-0.6792331915,3.394736365,6.0267,6.72
12747,HD 199140,bC*,0.4978027655,5.473235798,1.1732,6.54
12748,HD 168619,*,0.8099559581,4.792236247,8.2804,7.00
12749,HD 45090,*,0.1941832782,1.683684624,6.7466,6.38
12750,HD 101620,PM*,0.7197315417,3.062059544,12.7415,6.909
12751,HD 142860,PM*,0.2733467265,4.173313691,89.5647,3.84
12752,HD 213615,**,-1.453016108,5.934094458,10.8375,6.68
12753,HD 33883,*,0.03434273897,1.368015178,~,6.78
12754,HD 31754,V*,-1.163705523,1.280671467,1.8489,6.416
12755,HD 52703,PM*,-0.5840836377,1.836213533,8.5189,6.399
12756,HD 88295,*,1.37788479,2.689057937,7.8121,6.842
12757,HD 84005,*,0.5255439726,2.542694705,6.9244,6.72
12758,HD 59894,*,-0.7153968227,1.964845411,6.4926,6.55
12759,HD 111934,EB*,-1.053429471,3.375584533,0.4858,6.84
12760,HD 27346,SB*,-1.229068606,1.105014404,9.0365,6.98
12761,HD 63798,PM*,0.07783322208,2.054477861,5.2843,6.50
12762,HD 186927,*,0.611087799,5.174272613,7.1656,6.098
12763,HD 156681,PM*,0.1896208663,4.531819414,6.3784,5.020
12764,HD 191446,*,0.3328891618,5.276231624,9.6609,6.96
12765,HD 197832,*,0.1287899112,5.436482674,5.9128,6.97
12766,HD 9826,PM*,0.7226615828,0.4223581558,74.1940,4.10
12767,HD 7318,SB*,0.4290664657,0.321791158,8.1806,4.66
12768,HD 36954,SB*,-0.01283452492,1.462643171,3.3383,6.975
12769,HD 87438,s*r,-1.084838499,2.630313781,0.8503,6.371
12770,HD 110,**,0.7054364854,0.02648919496,4.3342,6.658
12771,HD 191533,PM*,0.1473652031,5.280187393,16.4964,6.598
12772,HD 201411,*,-0.9864112218,5.548278455,6.6117,6.93
12773,HD 217703,PM*,-0.3642626373,6.033330553,13.6014,5.976
12774,HD 2648,*,0.08482493715,0.1315313103,14.3242,6.50
12775,HD 88987,**,0.3096273933,2.688974022,8.73,6.590
12776,HD 87974,*,0.02025983276,2.655901336,17.9659,6.68
12777,HD 128000,*,0.9668774082,3.807067012,5.5136,5.718
12778,HD 124034,*,0.2668740683,3.711978538,3.6188,6.932
12779,HD 85373,PM*,0.6617323208,2.584660181,5.8467,6.709
12780,HD 24777,*,0.3721664932,1.034928141,6.5325,6.840
12781,HD 51986,*,-0.4167993155,1.826469664,7.718,6.712
12782,HD 209726,*,0.01095328714,5.783740708,4.2664,6.99
12783,HD 99904,*,0.1326340943,3.009238179,10.5699,6.73
12784,HD 97971,*,-1.192546636,2.944856392,3.3202,6.99
12785,HD 29317,SB*,0.9264126582,1.221343671,7.7841,5.073
12786,HD 203212,*,-1.253129975,5.608182612,6.3782,6.090
12787,HD 118623B,PM*,0.6334640337,3.566854872,17.9832,6.906
12788,HD 81997,SB*,-0.04832711027,2.483380368,54.9187,4.60
12789,HD 195134,EB*,0.2213258199,5.363160843,3.1332,6.935
12790,HD 35186,*,0.6524974338,1.416563143,6.3543,4.996
12791,HD 92305,V*,-1.371964728,2.772754081,7.3514,4.12
12792,HD 59967,PM*,-0.6516948257,1.966586951,45.9738,6.635
12793,HD 183886,*,0.5886725318,5.106348061,7.159,6.560
12794,HD 192887,PM*,-1.165001853,5.329672353,21.6442,6.50
12795,HD 613,*,0.578243033,0.04598934901,3.0596,6.803
12796,HD 79108,PM*,0.0674915005,2.409491085,8.7211,6.131
12797,HD 33427,*,0.5376544318,1.358997042,6.9609,6.62
12798,HD 135896,*,-0.5447059139,4.008534205,2.4985,6.194
12799,HD 7590,BY*,0.7494342128,0.3337398882,41.3803,6.59
12800,HD 52005,s*r,0.2806314186,1.833746423,0.7209,5.69
12801,HD 111968,PM*,-0.7012543312,3.374753494,21.9160,4.27
12802,HD 130819,SB*,-0.2792039931,3.886351689,41.7742,5.16
12803,HD 23016,Be*,0.3438343155,0.9700356489,6.2758,5.69
12804,HD 30397,*,-0.5934992108,1.247158852,5.4391,6.842
12805,HD 128385,SB*,1.141365447,3.811766136,32.8006,6.610
12806,HD 186548,*,0.2309130135,5.168779203,2.2211,6.83
12807,HD 162083,*,-0.4723151889,4.67029335,7.5037,6.96
12808,HD 29870,dS*,-0.01622991765,1.232098697,8.0458,6.9
12809,HD 15656,SB*,0.6308889221,0.6636737942,7.5319,5.144
12810,HD 110838,*,-0.8407336286,3.339651528,8.5744,6.638
12811,HD 173649,*,0.6561495439,4.907880342,20.6386,5.585
12812,HD 27045,PM*,0.3591642797,1.122512954,35.0804,4.914
12813,HD 112696,*,-0.05067814035,3.397572474,5.0007,6.647
12814,HD 213930,PM*,0.9882881099,5.906532305,9.4506,5.720
12815,HD 3158,PM*,-0.9140828864,0.1503769574,38.8246,5.57
12816,HD 160507,*,0.5714098656,4.62000006,7.1871,6.560
12817,HD 190047,*,0.5431039929,5.244390516,1.6993,6.602
12818,HD 108248,*,-1.10128691,3.257649492,~,1.28
12819,HD 108002,*,-1.1381469,3.250381727,0.4106,6.955
12820,HD 121212,LP*,0.5896905314,3.63632842,2.7038,6.969
12821,HD 211729,SB*,-1.091673694,5.851502634,15.2631,6.60
12822,HD 210666,*,0.7510270807,5.807853088,4.3933,6.76
12823,HD 36094,*,-0.5657952377,1.430482037,5.1947,6.82
12824,HD 213389,SB*,0.8614319039,5.890959183,8.3679,6.42
12825,HD 79025,*,-0.8626182436,2.398736652,6.0631,6.476
12826,HD 1483,*,-0.7546030342,0.0816349326,7.3296,6.328
12827,HD 133485,*,0.6032863528,3.942734576,6.5207,6.577
12828,HD 93273,V*,0.2224918087,2.820111398,6.9556,6.91
12829,HD 92000,SB*,0.5947843102,2.783237729,1.914,6.40
12830,HD 115046,EB*,0.197774718,3.466753563,6.1924,5.67
12831,HD 120901,SB*,-0.3265340014,3.633107047,4.5205,6.99
12832,HD 101205,**,-1.10606309,3.047080249,0.34,6.54
12833,HD 105778,*,0.2933771162,3.187526869,5.1937,6.387
12834,HD 164031,PM*,-0.42384091,4.713228587,7.192,6.64
12835,HD 28980,*,-0.1440884814,1.19398591,6.2028,6.62
12836,HD 97576,*,-0.7744413065,2.937584408,3.207,5.761
12837,HD 75306,LP*,-0.4998412263,2.304898093,4.3675,6.49
12838,HD 145589,**,0.1695067758,4.238951004,4.7331,6.511
12839,HD 88346,*,-0.2741769741,2.665427743,2.7767,6.94
12840,HD 150745,*,-1.021080364,4.391046659,2.4500,5.728
12841,HD 19845,*,0.8408465003,0.8438574075,9.9204,5.913
12842,HD 6288,PM*,0.02385598501,0.2784547894,16.8461,6.065
12843,HD 122387,*,0.162293839,3.671461603,2.9157,6.90
12844,HD 90430,*,-0.1121761867,2.73278374,5.6860,6.99
12845,HD 19102,*,0.6422591813,0.8097949026,6.1042,6.97
12846,HD 203222,*,-0.07958919311,5.58973104,9.6264,5.848
12847,HD 137928,*,0.9428320085,4.042778151,8.1997,6.43
12848,HD 57167,SB*,-0.2861510713,1.917548054,23.1638,5.70
12849,HD 6250,PM*,0.9460425937,0.2804598725,17.5313,6.83
12850,HD 222107,RS*,0.8108477048,6.185289992,38.5736,3.82
12851,HD 176466,*,0.5780044049,4.970018268,6.6192,6.97
12852,HD 88995,*,-0.7761097155,2.68350207,2.1445,6.571
12853,HD 131551,*,-1.30956714,3.926682453,6.1980,6.187
12854,HD 155923,SB*,0.3740470668,4.510165609,4.3202,6.820
12855,HD 93397,*,-0.3018874177,2.822492261,17.7995,5.44
12856,HD 188947,*,0.6123212422,5.219870501,23.5482,3.880
12857,HD 5286,**,0.4123921158,0.2398450428,26.33,5.45
12858,HD 156633,SB*,0.5777057684,4.526189097,3.4356,4.80
12859,HD 9712,PM*,0.7169187517,0.4183391119,8.3548,6.386
12860,HD 170973,a2*,0.06387227173,4.852516122,3.9768,6.407
12861,HD 35811,SB*,-0.5621562324,1.422509834,2.9502,6.86
12862,HD 87301,PM*,0.05586894575,2.636060362,17.6317,6.429
12863,HD 102590A,PM*,0.2493064591,3.092047807,~,5.94
12864,HD 69479,SB*,0.0736383807,2.169914225,4.4296,6.539
12865,HD 52611,*,-0.02349009259,1.840807249,5.9565,6.189
12866,HD 165022,*,-0.8111580165,4.739708538,1.6772,6.97
12867,HD 33276,**,0.2722227218,1.351318057,9.8438,4.82
12868,Cl Collinder 97,OpC,0.1032658959,1.707368341,~,5.4
12869,HD 198542,V*,-0.4698275348,5.462101745,5.8975,4.12
12870,HD 95370,*,-0.7369802593,2.880466978,16.2011,4.39
12871,HD 61367,V*,-0.004545561947,2.00253102,1.4886,6.767
12872,HD 153697,**,1.135146874,4.434973752,14.30,6.400
12873,HD 93833,*,-0.1719618898,2.834959518,9.4637,5.842
12874,HD 56456,*,-0.8425040859,1.896455902,8.66,4.76
12875,HD 152677,*,-0.1160813758,4.429349457,8.3374,6.81
12876,HD 20315,SB*,0.7683816003,0.8630182641,4.9025,5.476
12877,HD 196067,PM*,-1.315119569,5.418091165,25.0327,6.44
12878,HD 110628,*,0.455995031,3.330559706,7.9955,6.667
12879,HD 74690,PM*,-0.4151861148,2.289397421,6.9155,6.72
12880,HD 69148,SB*,1.090955682,2.178546156,7.4023,5.723
12881,HD 74217,*,-0.1483272496,2.279884812,6.1431,7.00
12882,HD 184385,PM*,0.3811856117,5.120036271,47.9716,6.880
12883,HD 109417,PM*,0.1349962322,3.292183652,7.0027,6.741
12884,HD 224801,a2*,0.7898196984,0.003173189937,5.5784,6.347
12885,HD 28859,*,-0.3612739011,1.18681059,2.7982,6.78
12886,HD 26684,*,1.328302087,1.140253745,2.9543,6.741
12887,HD 71152,PM*,0.4282021052,2.210735191,14.4288,6.89
12888,HD 158094,PM*,-1.059132897,4.586282658,14.4688,3.62
12889,HD 10453A,PM*,-0.1976529178,0.443955405,~,6.14
12890,HD 118685,Sy*,-1.254337886,3.58327661,3.2504,6.97
12891,HD 119786,*,-0.2751942447,3.602291729,10.4739,6.179
12892,HD 83189,*,0.2868963815,2.517825183,2.9769,5.732
12893,HD 72041,PM*,0.4202946169,2.231877559,13.6180,5.694
12894,HD 178428,SB*,0.2941470041,5.008900078,47.3289,6.07
12895,HD 93695,V*,-1.045020356,2.826292922,2.2264,6.47
12896,HD 165814,SB*,-0.4445886239,4.751225646,1.8498,6.71
12897,HD 202103,**,-0.9296162692,5.566572246,7.6878,5.719
12898,HD 191372,V*,1.187297924,5.257323861,3.0126,6.28
12899,HD 24160,PM*,-0.6318136702,1.001182401,14.9781,4.17
12900,HD 13682,*,0.3423364485,0.5840822152,6.0677,6.88
12901,HD 187570,*,-0.08192734367,5.195893276,5.2691,6.75
12902,HD 20283,**,0.7065611234,0.8604080121,5.06,6.460
12903,HD 28879,*,0.2848959893,1.193956987,11.7167,6.583
12904,HD 223444,PM*,-1.09675595,6.238442171,4.7227,6.58
12905,* mu.01 Lup,*,-0.8355814773,4.007859778,~,4.945
12906,HD 23754,PM*,-0.4057842131,0.9898116576,56.2281,4.20
12907,HD 97585,*,-0.001213042664,2.939829182,6.2602,5.404
12908,HD 10497,*,0.9230309834,0.4522422716,1.6025,6.78
12909,HD 2888,Pu*,0.7591274083,0.1415758197,3.0093,6.710
12910,HD 74088,*,-1.096821436,2.262227441,2.7853,6.71
12911,HD 73638,*,0.5807974992,2.271376019,7.1434,6.73
12912,HD 183399,*,0.5140041934,5.09736938,5.9871,6.57
12913,M 29,OpC,0.6717248692,5.339712673,0.553,6.6
12914,HD 46050,*,0.6159918774,1.713347785,3.3348,6.79
12915,HD 206027,**,0.4450376057,5.66687795,8.0913,6.197
12916,HD 150995,*,-1.286702431,4.414589672,6.5573,6.73
12917,HD 222516,**,0.8066607631,6.20067776,13.5827,6.978
12918,HD 152478,Be*,-0.8844419279,4.433779309,3.3089,6.33
12919,HD 87810,SB*,-0.3709823711,2.649090426,13.9643,6.66
12920,HD 80435,*,-0.9511141799,2.433446009,4.0669,6.319
12921,HD 8160,*,0.8747935237,0.3572066079,1.6062,6.55
12922,HD 91280,PM*,-0.4928303917,2.756796851,23.2553,6.030
12923,HD 66624,a2*,-0.7209924647,2.106378478,6.7621,5.497
12924,HD 189684,**,0.7988815576,5.233109712,7.5925,5.933
12925,HD 51098,PM*,0.7278975039,1.823434721,6.5902,6.852
12926,HD 184399,RS*,0.9727040216,5.110437068,2.2491,6.369
12927,HD 23712,V*,0.4361301337,0.995313268,3.64,6.49
12928,HD 37799,PM*,0.7277377043,1.497623445,13.0059,6.81
12929,HD 25301,*,-0.7665045108,1.044309343,5.6964,6.819
12930,HD 124197A,*,-1.146705846,3.729161561,2.4335,6.74
12931,HD 18357,PM*,0.2843789186,0.774391736,6.9604,6.880
12932,HD 45168,SB*,-0.06787611589,1.683307052,3.7005,6.309
12933,HD 88024,*,-0.1899753649,2.656220546,6.3025,6.540
12934,HD 17925,RS*,-0.2228735425,0.7528280059,96.5200,6.05
12935,HD 34658,PM*,0.04530525624,1.392716027,16.3291,5.325
12936,HD 94190,LP?,1.345431876,2.858923557,2.691,6.843
12937,HD 174621,Er*,0.7633091614,4.927695611,7.5554,6.546
12938,HD 44037,*,-0.1498541929,1.654276285,6.675,6.220
12939,HD 208218,Y*?,1.094533882,5.727235765,1.0854,6.708
12940,HD 144172,PM*,0.0117325128,4.208395417,19.7773,6.81
12941,HD 21215,*,-0.08124954863,0.8959583115,6.4594,6.980
12942,HD 164614,*,0.5796880769,4.715034205,4.1316,6.000
12943,HD 143259,*,-0.1274449809,4.187429822,6.8803,6.64
12944,HD 25152,*,0.6455881823,1.052639394,6.4075,6.389
12945,HD 102461,LP*,-1.006993904,3.086261443,3.8874,5.407
12946,HD 2453,a2*,0.5661454219,0.1242506764,5.7439,6.91
12947,HD 30739,*,0.1553374654,1.268034242,14.9058,4.35
12948,HD 73990,Pu*,-1.23354048,2.252979936,5.1355,6.87
12949,HD 160181,**,0.4242896516,4.614294733,12.1085,5.760
12950,HD 210221,Pu*,0.9303902936,5.791990398,0.4267,6.171
12951,HD 82468,PM*,-1.088403101,2.485138,10.4341,6.534
12952,HD 182475,dS*,-0.08525167369,5.083382667,8.0015,6.499
12953,HD 41451,*,-1.055673165,1.576226248,5.6927,6.92
12954,HD 173122,PM*,-0.6258186448,4.910100546,7.8587,6.56
12955,NGC 6811,OpC,0.8094488005,5.13720212,0.870,6.8
12956,HD 105071,*,-1.144008803,3.167308627,0.4514,6.303
12957,HD 142908,PM*,0.6622993395,4.170434234,23.7741,5.424
12958,HD 111295,PM*,-0.4816652097,3.352941666,10.3805,5.658
12959,HD 69997,dS*,-0.1774258306,2.178395106,9.0583,6.300
12960,HD 111463,*,-1.054188116,3.360617048,2.3965,6.66
12961,HD 86663,V*,0.1403981186,2.618925158,6.8513,4.70
12962,HD 8007,PM*,0.7325238599,0.3494227401,12.4815,6.94
12963,HD 90611,**,-0.8318208911,2.734636808,9.8669,6.55
12964,HD 32576,*,0.259338973,1.329490297,10.6032,6.77
12965,HD 71136,PM*,0.02747698472,2.206995476,7.0917,6.56
12966,HD 2841,*,0.3428344349,0.1392541559,2.253,6.87
12967,HD 146010,PM*,0.376400736,4.246092914,10.656,6.679
12968,HD 36881,SB*,0.178723067,1.462676574,1.9574,5.638
12969,HD 103877,SB*,0.3048712554,3.131585678,9.1509,6.78
12970,HD 29826,PM*,1.131153034,1.249695473,4.5753,6.84
12971,HD 49518,*,-1.068564432,1.765997828,3.0207,6.94
12972,HD 31517,*,-0.4490340696,1.289375144,9.5996,6.690
12973,HD 57122,*,-0.5645590951,1.913469705,4.6659,6.985
12974,HD 189193,*,-0.3876606119,5.234100879,4.0384,6.77
12975,HD 20980,*,-0.4465914423,0.8825756326,9.0074,6.353
12976,HD 104181,*,0.0637953554,3.141368197,10.8636,5.345
12977,HD 114873,PM*,-0.7529194892,3.464309876,8.9752,6.147
12978,HD 13854,s*b,0.9958018815,0.5971728574,0.429,6.48
12979,Cl Collinder 107,OpC,0.08677777041,1.731418978,0.617,5.1
12980,HD 61191,PM*,-0.4680356605,1.994293876,7.9953,6.88
